,Population,Children,Age,Income,VitD_levels,Doc_visits,Full_meals_eaten,Soft_drink,HighBlood,Complication_risk,Overweight,Arthritis,Diabetes,Hyperlipidemia,Stroke,BackPain,Anxiety,Allergic_rhinitis,Reflux_esophagitis,Asthma,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Initial_admin_Emergency Admission,Initial_admin_Observation Admission
PC0,-0.45557689601973966,0.3125750998167408,0.2062263695506201,-0.2972547622052765,0.39210786587797714,-0.07213862023540511,0.6353082664739294,0.00837536594605406,0.004662305340967541,0.012341365422980581,0.0032845325464769203,0.009417591769603368,0.0066689355085342355,-0.0038099973915043006,0.0061697322664883685,-0.010991780394698418,0.007266904302422391,0.0006259538721467812,-0.011182204008852286,0.0040041856713635155,0.008558819704861304,-0.005789647778715565,-0.010020118851287278,0.00523716179204661,0.016314275692166907,-0.005572671318506002
PC1,0.3321578652056544,0.27453536880863366,0.35809705201653,0.2600321299779237,0.3775311277205964,0.6873019809659073,-0.047498659345930505,0.0041777502082847385,0.0061456128007892205,0.027758673254356128,0.0015058786300900632,-0.002946477454398401,0.0023203755766676936,-0.01452204986963242,0.0059043674040359685,0.0015580954335282903,0.0012835779351920828,-3.73368012974175e-05,-0.006164512106422563,-0.0037690011961269234,0.005718921646638591,-0.00421946259088014,-0.0038690632768686953,-0.0073365125222043266,0.0042123572037396735,-0.0004541076165102892
PC2,-0.3983126905117823,0.3302303280218671,-0.006861355127510588,0.6943784227065107,-0.4624793145917882,0.06817287319665294,0.1733438798217557,0.003010288388937765,-0.0024508923680096693,-0.0071047637852539765,-0.0154421519439024,-0.002938690480210588,0.013215062135619075,0.006713133491981827,0.0001966981147042094,0.0042990901300828,-0.0006719823545191968,0.00048438652550501397,0.007858229084542727,0.002396609718417246,-0.006793116705760268,0.0027983859149102925,-0.0026134925520451147,0.0009557369736149844,-0.022570499243803388,0.017706034152236916
PC3,0.3366385379332461,0.44307250598683234,-0.7586322714754563,0.11579515864486387,0.2515297983017713,-0.11614640371788598,0.1549064403058678,0.006420799722780092,0.006411297792656905,0.008509909578858766,0.0025562252603905816,0.0019177110131280261,-0.0035696016712660436,-0.001748641995917326,-0.0009563377835528127,-0.006341577822206838,-0.0008532449142296745,-0.004408059448692239,0.01376011468958219,-0.0063302328854504914,0.002900981282811043,0.003952751876835847,-0.004799374287730202,-0.0020807628324018322,0.010840806997484034,-0.006015418228322011
PC4,0.27062171378556316,0.6501119583443963,0.4092395785922326,-0.1911615257628678,-0.22250579566882048,-0.4271096320581695,-0.25970021764229456,-0.0021292358732256764,0.0012158176061145822,-0.0030161063861083802,-0.0046753002312565906,0.0035262350002405293,0.0074309739053346835,0.00035167002266715635,0.0007400278375647779,0.009383856812905109,0.0039013948168566447,-0.009790086630655004,0.0014336086190960696,0.010476997143694126,0.010019211675945825,-0.0035348437611507503,-0.007296666646322032,-0.0002299227818425959,0.0049679970095213655,-0.010761263773506429
PC5,-0.036409327314259075,-0.1775335819615824,0.1989815703970436,0.5362170323174703,0.5668716885211115,-0.53945186386532,-0.16252892435313873,-0.003683408623952546,-0.005118883464620143,-0.018302991672724055,-0.008963946096544391,-0.005207946574045069,-0.022092828580338304,0.011177761470795357,0.004276057584136921,-0.0026668837423204153,0.0009093839913548602,-0.004248685563105634,-0.0010981259161312216,0.005357875202359846,-0.0047557980513389395,0.004587477347725774,0.002627982323282787,-0.002617867908155187,-0.005817354763917719,0.002368340911498649
PC6,0.5782072457460338,-0.25790124950523974,0.21467112649403783,0.15144515840939735,-0.23379482174865596,-0.17207200809267345,0.6666124311224795,0.00612901229806635,0.01001258637227417,0.026515207803957205,-0.003781614623535016,0.007356417775403655,-0.0008650111704176833,0.0005560976433540121,-0.000831513290511823,-0.00445938893520003,-0.00480139749890347,0.01611474996523711,0.008230690189118988,0.003970171798813059,-0.0007223672158445634,0.007721778196413604,-0.010259077501320681,0.003355500625966805,0.0010727880165810031,-0.005300260631450539
